#StationCode:5053
#InstrumentKind: CSV  (20211023111638_5053)
#StartTime:2021/10/23 11:16:28.000
#RecordLength(sec):141.00
#SampleRate(Hz): 100
#AmplitudeUnit:  gal. DCoffset(corr)
#AmplitudeMAX. a:    0.809 ~    -0.669
#AmplitudeMAX. b:    1.486 ~    -1.453
#AmplitudeMAX. c:    1.438 ~    -1.524
#         ____a____ ____b____ ____c____
#PGA(mm):      5.92,    14.86,    15.24
#PGV(mm):      0.48,     1.71,     1.51
#PGD(um):       253,      444,      259
#Intensity:1.0 touC:0.000 PGA:2.0gal PGV:2.0mm/s
#Time sync.:NTP
#Movement:NA, "2021-10-23 11:16:38.820000"
#DataSequence: Time; a; b; c; Pd; Displacement; pgvA; pgvB; pgvC
#Data: 4F10.3                                                        
      0.0000,    -0.663,    -0.029,     0.030,     0.000,    -0.026,    -0.133,    -0.033,     0.056
      0.0100,    -0.660,    -0.024,     0.023,     0.000,    -0.026,    -0.185,    -0.035,     0.054
      0.0200,    -0.569,    -0.027,     0.015,     0.000,    -0.026,    -0.227,    -0.036,     0.051
      0.0300,    -0.395,    -0.038,     0.006,     0.000,    -0.027,    -0.251,    -0.038,     0.048
      0.0400,    -0.159,    -0.057,    -0.003,     0.000,    -0.027,    -0.254,    -0.041,     0.044
      0.0500,     0.105,    -0.081,    -0.010,     0.000,    -0.028,    -0.231,    -0.045,     0.039
      0.0600,     0.362,    -0.108,    -0.016,     0.000,    -0.028,    -0.184,    -0.052,     0.034
      0.0700,     0.578,    -0.133,    -0.019,     0.000,    -0.028,    -0.118,    -0.060,     0.029
      0.0800,     0.727,    -0.149,    -0.019,     0.000,    -0.029,    -0.040,    -0.069,     0.024
      0.0900,     0.794,    -0.152,    -0.018,     0.000,    -0.029,     0.042,    -0.079,     0.019
      0.1000,     0.772,    -0.138,    -0.016,     0.000,    -0.029,     0.120,    -0.086,     0.015
      0.1100,     0.664,    -0.109,    -0.015,     0.000,    -0.029,     0.183,    -0.091,     0.011
      0.1200,     0.485,    -0.068,    -0.014,     0.000,    -0.029,     0.228,    -0.091,     0.008
      0.1300,     0.257,    -0.023,    -0.012,     0.000,    -0.029,     0.248,    -0.087,     0.005
      0.1400,     0.012,     0.018,    -0.006,     0.000,    -0.029,     0.242,    -0.079,     0.003
      0.1500,    -0.217,     0.049,     0.003,     0.000,    -0.029,     0.214,    -0.068,     0.001
      0.1600,    -0.394,     0.068,     0.014,     0.000,    -0.029,     0.168,    -0.055,     0.001
      0.1700,    -0.497,     0.075,     0.024,     0.000,    -0.029,     0.111,    -0.041,     0.002
      0.1800,    -0.515,     0.074,     0.027,     0.000,    -0.029,     0.054,    -0.029,     0.003
      0.1900,    -0.451,     0.071,     0.020,     0.000,    -0.029,     0.003,    -0.017,     0.004
      0.2000,    -0.325,     0.067,     0.001,     0.000,    -0.029,    -0.035,    -0.007,     0.003
      0.2100,    -0.168,     0.064,    -0.024,     0.000,    -0.029,    -0.055,     0.002,     0.001
      0.2200,    -0.012,     0.058,    -0.049,     0.000,    -0.029,    -0.059,     0.010,    -0.004
      0.2300,     0.115,     0.049,    -0.065,     0.000,    -0.029,    -0.048,     0.016,    -0.010
      0.2400,     0.195,     0.035,    -0.067,     0.000,    -0.030,    -0.029,     0.021,    -0.017
      0.2500,     0.229,     0.020,    -0.051,     0.000,    -0.030,    -0.005,     0.023,    -0.022
      0.2600,     0.224,     0.012,    -0.023,     0.000,    -0.030,     0.018,     0.025,    -0.024
      0.2700,     0.197,     0.019,     0.010,     0.000,    -0.030,     0.037,     0.026,    -0.024
      0.2800,     0.162,     0.043,     0.037,     0.000,    -0.030,     0.052,     0.028,    -0.020
      0.2900,     0.132,     0.083,     0.050,     0.000,    -0.030,     0.062,     0.034,    -0.015
      0.3000,     0.112,     0.130,     0.047,     0.000,    -0.030,     0.068,     0.042,    -0.010
      0.3100,     0.105,     0.173,     0.031,     0.000,    -0.030,     0.073,     0.055,    -0.006
      0.3200,     0.107,     0.201,     0.010,     0.000,    -0.030,     0.076,     0.069,    -0.004
      0.3300,     0.113,     0.212,    -0.006,     0.000,    -0.030,     0.080,     0.084,    -0.004
      0.3400,     0.120,     0.209,    -0.013,     0.000,    -0.030,     0.083,     0.097,    -0.005
      0.3500,     0.122,     0.201,    -0.010,     0.000,    -0.030,     0.086,     0.109,    -0.006
      0.3600,     0.118,     0.198,    -0.001,     0.000,    -0.030,     0.089,     0.118,    -0.007
      0.3700,     0.107,     0.205,     0.008,     0.000,    -0.030,     0.090,     0.127,    -0.006
      0.3800,     0.091,     0.222,     0.011,     0.000,    -0.030,     0.090,     0.135,    -0.005
      0.3900,     0.071,     0.242,     0.005,     0.000,    -0.030,     0.087,     0.144,    -0.004
      0.4000,     0.054,     0.255,    -0.008,     0.000,    -0.029,     0.083,     0.153,    -0.005
