,name,size,status
0,20211117022601_4441_Z.mseed,6912,1
1,20211117022601_4441_E.mseed,7168,1
2,20211117022545_4397_N.mseed,13056,1
3,_palert_5017_eqEvent_20211117102550.csv,1428719,1
4,_palert_4404_eqEvent_20211117102549.csv,552719,1
5,20211117022553_4650_E.mseed,8704,1
6,20211117022553_4650_Z.mseed,7168,1
7,20211117022545_4397_Z.mseed,13056,1
8,_palert_4584_eqEvent_20211117102554.csv,435419,1
9,_palert_5053_eqEvent_20211117102550.csv,1438919,1
10,20211117022553_4650_N.mseed,8448,1
11,_palert_5067_eqEvent_20211117102609.csv,1438919,1
12,20211117022545_4397_E.mseed,13056,1
13,20211117022601_4441_N.mseed,7424,1
