,name,size,status
0,20210707221227_5067_Z.mseed,37888,1
1,20210707221226_5040_N.mseed,7936,1
2,20210707221226_5021_Z.mseed,7424,1
3,20210707221226_5053_Z.mseed,9472,1
4,20210707221227_4650_Z.mseed,8192,1
5,20210707221215_4404_N.mseed,11008,1
6,_palert_4584_eqEvent_20210708061228.csv,449219,1
7,20210707221213_4406_E.mseed,15104,1
8,20210707221227_4650_N.mseed,9216,1
9,20210707221226_5053_E.mseed,9984,1
10,20210707221226_5080_Z.mseed,7424,1
11,20210707221215_4404_Z.mseed,10752,1
12,20210707221149_4441_E.mseed,10496,1
13,20210707221226_5018_Z.mseed,7424,1
14,20210707221215_4404_E.mseed,11520,1
15,20210707221226_5040_Z.mseed,7424,1
16,20210707221150_4397_N.mseed,12288,1
17,20210707221149_4441_Z.mseed,9984,1
18,20210707221227_5067_N.mseed,38400,1
19,20210707221150_4397_E.mseed,12032,1
20,20210707221226_5080_N.mseed,7680,1
21,20210707221226_5018_N.mseed,7936,1
22,20210707221226_5021_E.mseed,7936,1
23,20210707221213_4406_N.mseed,14592,1
24,20210707221226_5053_N.mseed,11776,1
25,20210707221226_5080_E.mseed,7936,1
26,20210707221226_5040_E.mseed,7936,1
27,20210707221227_4650_E.mseed,10240,1
28,20210707221149_4441_N.mseed,10752,1
29,20210707221150_4397_Z.mseed,11520,1
30,20210707221226_5021_N.mseed,7680,1
31,20210707221226_5018_E.mseed,7936,1
32,20210707221213_4406_Z.mseed,11008,1
33,20210707221227_5067_E.mseed,38912,1
