,name,size,status
0,20210803000555_5021_Z.mseed,6656,1
1,20210803000548_4406_N.mseed,8704,1
2,20210803000556_5053_N.mseed,9216,1
3,20210803000538_4404_N.mseed,7168,1
4,20210803000553_4650_N.mseed,7168,1
5,20210803000555_5080_N.mseed,6144,1
6,20210803000553_4650_E.mseed,7168,1
7,20210803000555_5080_Z.mseed,6656,1
8,20210803000548_4406_E.mseed,8704,1
9,20210803000548_4406_Z.mseed,8192,1
10,20210803000556_5053_E.mseed,8960,1
11,20210803000538_4404_Z.mseed,7680,1
12,20210803000538_4404_E.mseed,7168,1
13,20210803000555_5021_E.mseed,6400,1
14,20210803000555_5021_N.mseed,6656,1
15,20210803000555_5080_E.mseed,6400,1
16,20210803000553_4650_Z.mseed,7168,1
17,20210803000556_5053_Z.mseed,8960,1
