,name,size,status
0,20210705151301_5018_Z.mseed,6656,1
1,20210705151301_5053_Z.mseed,8960,1
2,20210705151303_4650_Z.mseed,7680,1
3,20210705151303_4650_N.mseed,8704,1
4,20210705151301_5021_E.mseed,6912,1
5,20210705151231_4441_N.mseed,8704,1
6,20210705151301_5018_E.mseed,7168,1
7,20210705151301_5021_Z.mseed,6656,1
8,20210705151248_4406_E.mseed,11008,1
9,20210705151301_5040_Z.mseed,6656,1
10,20210705151301_5040_E.mseed,6912,1
11,20210705151301_5053_E.mseed,8960,1
12,20210705151302_5067_E.mseed,36096,1
13,20210705151302_5067_Z.mseed,35840,1
14,20210705151301_5018_N.mseed,6912,1
15,20210705151302_5067_N.mseed,35840,1
16,20210705151229_4397_Z.mseed,10496,1
17,20210705151303_4650_E.mseed,8704,1
18,20210705151231_4441_Z.mseed,8448,1
19,20210705151301_5080_Z.mseed,6656,1
20,20210705151248_4406_Z.mseed,9984,1
21,20210705151301_5053_N.mseed,8960,1
22,20210705151248_4406_N.mseed,11776,1
23,20210705151301_5080_N.mseed,6656,1
24,20210705151301_5021_N.mseed,6656,1
25,20210705151229_4397_N.mseed,10752,1
26,20210705151229_4397_E.mseed,10496,1
27,20210705151301_5040_N.mseed,6912,1
28,20210705151231_4441_E.mseed,8192,1
29,20210705151301_5080_E.mseed,6912,1
