,name,size,status
0,20210611073404_4404_E.mseed,6912,1
1,20210611073356_5021_N.mseed,8704,1
2,20210611073359_4650_Z.mseed,7936,1
3,20210611073359_5067_E.mseed,37632,1
4,20210611073359_4650_N.mseed,8704,1
5,20210611073356_5040_Z.mseed,7936,1
6,20210611073359_5067_Z.mseed,36864,1
7,20210611073359_5067_N.mseed,39424,1
8,20210611073358_5053_N.mseed,38400,1
9,20210611073321_4397_E.mseed,11008,1
10,20210611073345_4406_Z.mseed,10752,1
11,20210611073321_4441_E.mseed,10240,1
12,20210611073356_5080_Z.mseed,7680,1
13,20210611073356_5040_N.mseed,8448,1
14,20210611073359_4650_E.mseed,8960,1
15,20210611073358_5053_Z.mseed,38144,1
16,20210611073357_4668_N.mseed,10240,1
17,20210611073404_4404_N.mseed,6912,1
18,20210611073356_5021_E.mseed,8448,1
19,20210611073321_4397_N.mseed,11264,1
20,20210611073321_4397_Z.mseed,10496,1
21,20210611073345_4406_N.mseed,13312,1
22,20210611073357_5018_Z.mseed,7680,1
23,20210611073356_5080_E.mseed,8448,1
24,_palert_4584_eqEvent_20210611153410.csv,421619,1
25,20210611073358_5053_E.mseed,38912,1
26,20210611073356_5021_Z.mseed,7424,1
27,20210611073404_4404_Z.mseed,6912,1
28,20210611073357_4668_Z.mseed,7936,1
29,20210611073345_4406_E.mseed,13568,1
30,20210611073357_4668_E.mseed,10240,1
31,20210611073321_4441_Z.mseed,9984,1
32,20210611073356_5040_E.mseed,8960,1
33,20210611073357_5018_N.mseed,7936,1
34,20210611073357_5018_E.mseed,8704,1
35,20210611073356_5080_N.mseed,8704,1
36,20210611073321_4441_N.mseed,10240,1
