,name,size,status
0,20210620145010_4397_N.mseed,10240,1
1,20210620145034_4406_E.mseed,12032,1
2,20210620145010_4397_E.mseed,10240,1
3,20210620145010_4441_E.mseed,9216,1
4,20210620145032_5040_N.mseed,6912,1
5,20210620145032_5021_Z.mseed,10240,1
6,20210620145033_5053_E.mseed,35840,1
7,20210620145033_5053_N.mseed,35840,1
8,20210620145032_5040_E.mseed,7168,1
9,20210620145033_5053_Z.mseed,35840,1
10,20210620145032_5018_E.mseed,10240,1
11,20210620145034_4406_N.mseed,12544,1
12,20210620145032_5018_N.mseed,9728,1
13,20210620145033_5067_Z.mseed,52224,1
14,20210620145010_4441_N.mseed,9472,1
15,20210620145032_5021_E.mseed,10240,1
16,20210620145010_4441_Z.mseed,8960,1
17,20210620145032_5040_Z.mseed,7168,1
18,20210620145032_5080_E.mseed,7168,1
19,20210620145034_4406_Z.mseed,11520,1
20,20210620145033_5067_N.mseed,52224,1
21,20210620145032_5080_Z.mseed,7168,1
22,20210620145032_5018_Z.mseed,10240,1
23,20210620145010_4397_Z.mseed,9472,1
24,20210620145033_5067_E.mseed,52224,1
25,20210620145032_5021_N.mseed,9984,1
26,20210620145032_5080_N.mseed,7168,1
