,name,size,status
0,20210620070405_4406_E.mseed,9472,1
1,20210620070415_5080_N.mseed,6656,1
2,20210620070415_5018_N.mseed,6656,1
3,20210620070416_5040_E.mseed,6400,1
4,20210620070415_5018_Z.mseed,6656,1
5,_palert_4584_eqEvent_20210620150423.csv,387119,1
6,20210620070417_5067_E.mseed,35840,1
7,20210620070417_5053_Z.mseed,35840,1
8,20210620070417_5053_E.mseed,35840,1
9,20210620070405_4406_Z.mseed,8448,1
10,20210620070413_4650_E.mseed,7424,1
11,20210620070413_4650_Z.mseed,6912,1
12,20210620070416_5040_Z.mseed,6400,1
13,20210620070415_5080_Z.mseed,6656,1
14,20210620070415_5080_E.mseed,6656,1
15,20210620070416_5040_N.mseed,6400,1
16,20210620070415_5018_E.mseed,6656,1
17,20210620070417_5067_N.mseed,35840,1
18,20210620070415_5021_E.mseed,6400,1
19,20210620070413_4650_N.mseed,7168,1
20,20210620070415_5021_N.mseed,6656,1
21,20210620070417_5067_Z.mseed,35840,1
22,20210620070417_5053_N.mseed,35840,1
23,20210620070405_4406_N.mseed,9472,1
24,20210620070415_5021_Z.mseed,6656,1
