,name,size,status
0,20210611073715_4406_E.mseed,9728,1
1,20210611073715_4406_Z.mseed,8448,1
2,20210611073714_5021_Z.mseed,6912,1
3,20210611073717_4650_N.mseed,8448,1
4,20210611073641_4397_E.mseed,10240,1
5,20210611073717_4650_E.mseed,8192,1
6,20210611073715_4406_N.mseed,9728,1
7,20210611073714_5021_E.mseed,6912,1
8,20210611073715_5053_E.mseed,35840,1
9,20210611073714_5021_N.mseed,6912,1
10,20210611073640_4441_E.mseed,8704,1
11,20210611073640_4441_N.mseed,8960,1
12,20210611073640_4441_Z.mseed,8448,1
13,20210611073641_4397_Z.mseed,9728,1
14,20210611073641_4397_N.mseed,10240,1
15,20210611073715_5053_Z.mseed,35840,1
16,20210611073715_5053_N.mseed,35840,1
17,20210611073717_4650_Z.mseed,7680,1
