,name,size,status
0,20211024051139_4441_E.mseed,14848,1
1,_palert_5067_eqEvent_20211024131149.csv,1438919,1
2,20211024051218_4397_E.mseed,15616,1
3,20211024051139_4441_N.mseed,14848,1
4,_palert_5017_eqEvent_20211024131148.csv,1438919,1
5,20211024051138_4397_N.mseed,14592,1
6,_palert_4404_eqEvent_20211024131147.csv,559619,1
7,20211024051218_4397_Z.mseed,16640,1
8,_palert_4584_eqEvent_20211024131149.csv,552719,1
9,_palert_4668_eqEvent_20211024131149.csv,973619,1
10,20211024051138_4397_Z.mseed,14080,1
11,20211024051218_4397_N.mseed,15616,1
12,20211024051138_4397_E.mseed,14592,1
13,_palert_5053_eqEvent_20211024131148.csv,1438919,1
14,20211024051139_4441_Z.mseed,14592,1
