,name,size,status
0,20210618021342_5021_E.mseed,8960,1
1,20210618021319_5067_E.mseed,62464,1
2,20210618021342_5040_N.mseed,8960,1
3,20210618021338_5080_E.mseed,8448,1
4,20210618021342_5040_E.mseed,8960,1
5,20210618021342_5021_Z.mseed,8192,1
6,20210618021338_5018_N.mseed,8704,1
7,20210618021342_4668_N.mseed,8192,1
8,20210618021342_5021_N.mseed,8960,1
9,20210618021319_5067_Z.mseed,62464,1
10,20210618021319_5067_N.mseed,64512,1
11,20210618021342_5040_Z.mseed,8192,1
12,20210618021338_5018_Z.mseed,8192,1
13,20210618021338_5080_N.mseed,8704,1
14,20210618021338_5018_E.mseed,8960,1
15,20210618021342_4668_E.mseed,8448,1
16,20210618021338_5080_Z.mseed,7936,1
