,name,size,status
0,20220103094654_4650_E.mseed,16896,1
1,_palert_4668_eqEvent_20220103174702.csv,973619,1
2,_palert_5017_eqEvent_20220103174700.csv,1428719,1
3,20220103094654_4650_N.mseed,16640,1
4,20220103094654_4650_Z.mseed,14592,1
5,_palert_4441_eqEvent_20220103174653.csv,973619,1
6,_palert_5053_eqEvent_20220103174700.csv,1438919,1
7,_palert_4584_eqEvent_20220103174703.csv,635519,1
8,20220103094650_5021_N.mseed,40448,1
9,_palert_5284_eqEvent_20220103174722.csv,1438919,1
10,20220103094650_5021_E.mseed,38400,1
11,_palert_5144_eqEvent_20220103174725.csv,1438919,1
12,_palert_4404_eqEvent_20220103174700.csv,559619,1
13,20220103094650_5021_Z.mseed,33792,1
