,name,size,status
0,20210707112516_5040_Z.mseed,9728,1
1,20210707112515_5053_E.mseed,13568,1
2,20210707112453_4397_Z.mseed,14848,1
3,20210707112520_4650_E.mseed,11776,1
4,20210707112515_5080_Z.mseed,11264,1
5,20210707112452_4441_E.mseed,10752,1
6,20210707112453_4397_N.mseed,15872,1
7,20210707112516_5021_E.mseed,9728,1
8,20210707112528_4404_N.mseed,9728,1
9,20210707112516_5018_Z.mseed,9472,1
10,20210707112453_4397_E.mseed,15872,1
11,20210707112515_5053_Z.mseed,13056,1
12,20210707112520_4650_N.mseed,11264,1
13,20210707112514_4406_Z.mseed,11008,1
14,20210707112516_5040_E.mseed,9984,1
15,20210707112517_5067_E.mseed,52480,1
16,20210707112516_5018_E.mseed,9728,1
17,20210707112452_4441_N.mseed,11008,1
18,20210707112515_5080_N.mseed,11520,1
19,20210707112514_4406_N.mseed,14336,1
20,20210707112516_5018_N.mseed,9472,1
21,20210707112515_5080_E.mseed,11520,1
22,20210707112528_4404_Z.mseed,9216,1
23,20210707112517_5067_Z.mseed,51200,1
24,20210707112516_5040_N.mseed,9728,1
25,20210707112452_4441_Z.mseed,10240,1
26,20210707112516_5021_N.mseed,9728,1
27,20210707112528_4404_E.mseed,9984,1
28,_palert_4584_eqEvent_20210707192530.csv,497519,1
29,20210707112520_4650_Z.mseed,10240,1
30,20210707112515_5053_N.mseed,14592,1
31,20210707112514_4406_E.mseed,14080,1
32,20210707112516_5021_Z.mseed,9728,1
33,20210707112517_5067_N.mseed,51200,1
