,name,size,status
0,20210628090815_4397_E.mseed,9984,1
1,20210628090817_4441_N.mseed,9216,1
2,20210628090848_5021_E.mseed,6400,1
3,20210628090848_5040_Z.mseed,6400,1
4,20210628090851_4650_N.mseed,8192,1
5,20210628090848_5080_E.mseed,6400,1
6,20210628090848_5080_Z.mseed,6400,1
7,20210628090851_4650_Z.mseed,7680,1
8,20210628090848_5053_E.mseed,8960,1
9,20210628090848_5053_N.mseed,8960,1
10,20210628090848_5080_N.mseed,6400,1
11,20210628090848_5021_N.mseed,6400,1
12,20210628090848_5040_N.mseed,6400,1
13,20210628090848_5018_Z.mseed,6656,1
14,20210628090848_5021_Z.mseed,6656,1
15,20210628090836_4406_E.mseed,11776,1
16,20210628090848_5018_E.mseed,7168,1
17,20210628090848_5018_N.mseed,6656,1
18,20210628090849_5067_Z.mseed,35840,1
19,20210628090815_4397_N.mseed,9984,1
20,20210628090848_5040_E.mseed,6400,1
21,20210628090836_4406_N.mseed,11520,1
22,20210628090817_4441_Z.mseed,8960,1
23,20210628090849_5067_E.mseed,35840,1
24,20210628090836_4406_Z.mseed,10752,1
25,20210628090848_5053_Z.mseed,8960,1
26,20210628090815_4397_Z.mseed,9472,1
27,20210628090817_4441_E.mseed,8704,1
28,20210628090849_5067_N.mseed,35840,1
29,20210628090851_4650_E.mseed,7936,1
