,name,size,status
0,20210925222125_5053_Z.mseed,18944,1
1,20210925222119_4441_E.mseed,12288,1
2,20210925222127_4650_E.mseed,13568,1
3,20210925222119_4441_Z.mseed,12032,1
4,_palert_4404_eqEvent_20210926062134.csv,559619,1
5,20210925222125_5053_N.mseed,20992,1
6,20210925222119_4441_N.mseed,12288,1
7,20210925222118_4397_E.mseed,13312,1
8,20210925222127_4650_N.mseed,13824,1
9,20210925222118_4397_N.mseed,13312,1
10,20210925222127_4650_Z.mseed,12544,1
11,20210925222125_5053_E.mseed,20736,1
12,20210925222118_4397_Z.mseed,13312,1
