,name,size,status
0,20210713225957_5040_N.mseed,6400,1
1,20210713225958_5053_E.mseed,8960,1
2,20210713225943_4406_E.mseed,12032,1
3,20210713225943_4406_Z.mseed,10752,1
4,20210713225919_4397_N.mseed,9984,1
5,20210713225957_5080_Z.mseed,6400,1
6,20210713225957_5021_Z.mseed,6400,1
7,20210713225957_5021_E.mseed,6400,1
8,20210713225957_5021_N.mseed,6400,1
9,20210713225919_4397_Z.mseed,9728,1
10,20210713225917_4441_Z.mseed,9216,1
11,20210713225957_5040_Z.mseed,6400,1
12,20210713225958_5067_E.mseed,36864,1
13,20210713225957_5080_E.mseed,6400,1
14,20210713225917_4441_N.mseed,9984,1
15,20210713225958_5053_N.mseed,8960,1
16,20210713225958_5053_Z.mseed,8960,1
17,20210713225957_5018_Z.mseed,6656,1
18,20210713225943_4406_N.mseed,11776,1
19,20210713225919_4397_E.mseed,10240,1
20,20210713225958_5067_N.mseed,36864,1
21,20210713225957_5080_N.mseed,6400,1
22,20210713225957_5018_N.mseed,6656,1
23,20210713225957_5040_E.mseed,6400,1
24,20210713225957_5018_E.mseed,6656,1
25,20210713225917_4441_E.mseed,9472,1
26,20210713225958_5067_Z.mseed,36864,1
