,name,size,status
0,20210629053122_5018_Z.mseed,6656,1
1,20210629053123_5067_E.mseed,35840,1
2,20210629053112_4404_N.mseed,7424,1
3,20210629053110_4406_Z.mseed,9984,1
4,20210629053110_4406_N.mseed,10496,1
5,20210629053122_5053_Z.mseed,8960,1
6,_palert_4584_eqEvent_20210629133126.csv,380219,1
7,20210629053122_5018_N.mseed,6912,1
8,20210629053122_5080_N.mseed,6656,1
9,20210629053123_5067_Z.mseed,35840,1
10,20210629053122_5053_E.mseed,8960,1
11,20210629053122_5080_Z.mseed,6656,1
12,20210629053110_4406_E.mseed,10752,1
13,20210629053112_4404_E.mseed,7424,1
14,20210629053117_4650_E.mseed,8448,1
15,20210629053122_5040_E.mseed,6656,1
16,20210629053122_5040_Z.mseed,6656,1
17,20210629053122_5053_N.mseed,8960,1
18,20210629053122_5018_E.mseed,6656,1
19,20210629053112_4404_Z.mseed,7936,1
20,20210629053122_5040_N.mseed,6656,1
21,20210629053122_5021_Z.mseed,6656,1
22,20210629053122_5080_E.mseed,6656,1
23,20210629053122_5021_N.mseed,6656,1
24,20210629053117_4650_N.mseed,8704,1
25,20210629053122_5021_E.mseed,6656,1
26,20210629053117_4650_Z.mseed,8192,1
27,20210629053123_5067_N.mseed,35840,1
