,name,size,status
0,_palert_4668_eqEvent_20211114210531.csv,966719,1
1,_palert_5067_eqEvent_20211114210531.csv,1438919,1
2,20211114130520_4397_E.mseed,12544,1
3,20211114130523_4650_N.mseed,12288,1
4,20211114130523_4650_E.mseed,11776,1
5,_palert_4404_eqEvent_20211114210529.csv,552719,1
6,_palert_4584_eqEvent_20211114210530.csv,449219,1
7,_palert_5053_eqEvent_20211114210529.csv,1438919,1
8,20211114130523_4650_Z.mseed,11264,1
9,20211114130520_4397_N.mseed,12032,1
10,20211114130520_4397_Z.mseed,11520,1
