,name,size,status
0,20211018054915_4397_E.mseed,11776,1
1,20211018054915_4397_N.mseed,12032,1
2,_palert_5067_eqEvent_20211018134936.csv,1438919,1
3,20211018054916_4441_E.mseed,10752,1
4,_palert_5053_eqEvent_20211018134935.csv,1428719,1
5,20211018054929_4650_N.mseed,12544,1
6,20211018054929_4650_Z.mseed,11008,1
7,_palert_5017_eqEvent_20211018134935.csv,1438919,1
8,_palert_4668_eqEvent_20211018134936.csv,973619,1
9,20211018054915_4397_Z.mseed,11520,1
10,20211018054916_4441_Z.mseed,10752,1
11,20211018054916_4441_N.mseed,11008,1
12,_palert_4404_eqEvent_20211018134935.csv,532019,1
13,_palert_4584_eqEvent_20211018134937.csv,504419,1
14,20211018054929_4650_E.mseed,12544,1
