,name,size,status
0,20210715230456_4441_E.mseed,9472,1
1,20210715230535_5080_E.mseed,6912,1
2,20210715230535_5080_Z.mseed,6400,1
3,20210715230535_5018_E.mseed,6912,1
4,20210715230535_5053_E.mseed,9472,1
5,20210715230535_5040_Z.mseed,6400,1
6,20210715230535_5053_Z.mseed,9472,1
7,20210715230527_4406_E.mseed,10752,1
8,20210715230535_5040_E.mseed,6656,1
9,20210715230456_4441_Z.mseed,9472,1
10,20210715230536_5067_E.mseed,36864,1
11,20210715230457_4397_Z.mseed,9728,1
12,20210715230535_5021_E.mseed,6656,1
13,20210715230456_4441_N.mseed,9728,1
14,20210715230457_4397_E.mseed,10752,1
15,20210715230535_5080_N.mseed,6400,1
16,20210715230535_5021_Z.mseed,6400,1
17,20210715230527_4406_N.mseed,11264,1
18,20210715230527_4406_Z.mseed,9984,1
19,20210715230536_5067_Z.mseed,36864,1
20,20210715230535_5040_N.mseed,6656,1
21,20210715230536_5067_N.mseed,36864,1
22,20210715230535_5021_N.mseed,6400,1
23,20210715230457_4397_N.mseed,10496,1
24,20210715230535_5018_N.mseed,6656,1
25,20210715230535_5053_N.mseed,9472,1
26,20210715230535_5018_Z.mseed,6656,1
