,name,size,status
0,20210804215635_4406_Z.mseed,9728,1
1,20210804215654_4441_Z.mseed,6912,1
2,20210804215646_4650_N.mseed,8960,1
3,20210804215654_5040_E.mseed,7168,1
4,20210804215654_5040_Z.mseed,6912,1
5,20210804215656_4397_Z.mseed,8704,1
6,20210804215646_4650_Z.mseed,8448,1
7,20210804215655_5067_E.mseed,39936,1
8,20210804215641_4404_Z.mseed,7680,1
9,20210804215655_5067_N.mseed,39936,1
10,20210804215646_4650_E.mseed,9472,1
11,20210804215656_4397_E.mseed,8192,1
12,20210804215654_4441_E.mseed,6912,1
13,20210804215654_4441_N.mseed,6912,1
14,20210804215654_5080_E.mseed,7168,1
15,20210804215641_4404_E.mseed,7424,1
16,20210804215654_5080_Z.mseed,6912,1
17,20210804215656_4397_N.mseed,8192,1
18,20210804215654_5053_Z.mseed,9984,1
19,20210804215654_5053_E.mseed,9984,1
20,20210804215654_5018_E.mseed,7424,1
21,20210804215654_5018_Z.mseed,7424,1
22,20210804215654_5021_N.mseed,6912,1
23,20210804215635_4406_E.mseed,12288,1
24,20210804215654_5021_Z.mseed,6912,1
25,20210804215654_5018_N.mseed,7424,1
26,20210804215655_5067_Z.mseed,39936,1
27,20210804215654_5021_E.mseed,7168,1
28,20210804215654_5080_N.mseed,6912,1
29,20210804215654_5040_N.mseed,7168,1
30,20210804215635_4406_N.mseed,12288,1
31,20210804215641_4404_N.mseed,7168,1
32,20210804215654_5053_N.mseed,9984,1
